Chapter/Topic (Notes),Coulouris (2012) Correspondence,Tanenbaum (2007) Correspondence
6.1 Fault Tolerance,Ch.18 Replication (§18.3 Fault-tolerant Services),Ch.8 Fault Tolerance (§8.1–8.3)
6.2 Recovery,Ch.17 Distributed Transactions (§17.6 Transaction Recovery),"§8.6 Recovery (Checkpointing, Logging)"
6.3 Agreement,Ch.15 Coordination and Agreement (§15.5 Consensus),"§8.5 Distributed Commit (2PC, 3PC)"
6.4 Election Algorithms,§15.3 Elections,§6.5 Election Algorithms
6.5 Checkpointing,§17.6 Transaction Recovery,§8.6.2 Checkpointing
6.6 Message Logging,§17.6 Transaction Recovery,§8.6.3 Message Logging
7.1 Synchronization (Clock Sync),Ch.14 Time and Global States (§14.3 Synchronizing Physical Clocks),§6.1 Clock Synchronization (§6.1.3 Algorithms)
7.2 Logical Clocks,§14.4 Logical Time and Logical Clocks,"§6.2 Logical Clocks (Lamport, Vector)"
7.3 Global States,§14.5 Global States,§6.4 Global Positioning of Nodes
7.4 Mutual Exclusion,§15.2 Distributed Mutual Exclusion,§6.3 Mutual Exclusion (§6.3.1–6.3.6)
7.5 Election,§15.3 Elections,§6.5 Election Algorithms
7.6 Deadlock Detection,§17.5 Distributed Deadlocks,§8.3 Reliable Client-Server Communication / §11.5 File Locking
7.7 Snapshot Algorithms,§14.5 Global States,§8.6.1 Introduction to Recovery (Snapshots)
8.1 Transactions,Ch.16 Transactions and Concurrency Control (§16.2–16.5),§8.5 Distributed Commit (Transaction protocols)
8.2 Concurrency Control,§16.4 Locks; §16.5 Optimistic Control; §16.6 Timestamp Ordering,"§7.5 Consistency Protocols (Locking, Primary Copy)"
8.3 Two-Phase Commit (2PC),§17.3 Atomic Commit Protocols,§8.5.1 Two-Phase Commit
8.4 Three-Phase Commit (3PC),§17.3 Atomic Commit Protocols (3PC extension),§8.5.2 Three-Phase Commit
8.5 Nested Transactions,§16.3 Nested Transactions,§8.1.1 Basic Concepts (mentions nesting)
9.1 Security Fundamentals,Ch.11 Security (§11.1–11.3),Ch.9 Security (§9.1–9.3)
9.2 Cryptography,§11.3 Cryptographic Algorithms,§9.1.3 Cryptography
9.3 Authentication,"§11.6 Case Studies: Needham–Schroeder, Kerberos",§9.2.4 Example: Kerberos
9.4 Access Control,§11.2 Overview of Security Techniques,§9.3 Access Control (§9.3.1–9.3.3)
9.5 Secure Channels,"§11.6 Case Studies: TLS, 802.11 WiFi",§9.2 Secure Channels (§9.2.1–9.2.3)
10.1 Web Services,Ch.9 Web Services (§9.1–9.7),Ch.12 Distributed Web-Based Systems (§12.1.2 Web Services)
10.2 Peer-to-Peer Systems,Ch.10 Peer-to-Peer Systems (§10.1–10.7),§13.2.3 Peer-to-Peer Architectures
10.3 Distributed File Systems,Ch.12 Distributed File Systems (§12.1–12.5),Ch.11 Distributed File Systems (§11.1–11.8)
10.4 Mobile and Ubiquitous Computing,Ch.19 Mobile and Ubiquitous Computing (§19.1–19.8),Mentions in §13.2.4 Mobility and Coordination
10.5 Distributed Multimedia Systems,Ch.20 Distributed Multimedia Systems (§20.1–20.7),Brief mentions in §4.4 (Stream Communication)
